# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.581946      	smoothSolver	3.338420e-03	2.192390e-10	4	true	DICPCG	1.031550e-02	4.296620e-04	1	true
0.587964      	smoothSolver	3.361180e-03	2.105420e-10	4	true	DICPCG	1.014130e-02	4.160800e-04	1	true
0.593982      	smoothSolver	3.375430e-03	2.001870e-10	4	true	DICPCG	9.979160e-03	4.298850e-04	1	true
0.6           	smoothSolver	3.387250e-03	1.905360e-10	4	true	DICPCG	1.015340e-02	4.365280e-04	1	true
0.606667      	smoothSolver	3.763940e-03	3.624500e-10	4	true	DICPCG	1.116320e-02	5.031300e-04	1	true
0.612889      	smoothSolver	3.527970e-03	2.270840e-10	4	true	DICPCG	1.015710e-02	4.197580e-04	1	true
0.618696      	smoothSolver	3.314860e-03	1.420410e-10	4	true	DICPCG	9.861070e-03	4.132210e-04	1	true
0.624504      	smoothSolver	3.340870e-03	1.427610e-10	4	true	DICPCG	9.836540e-03	4.479660e-04	1	true
0.629896      	smoothSolver	3.122430e-03	8.945760e-09	3	true	DICPCG	8.964500e-03	4.195840e-04	1	true
0.635289      	smoothSolver	3.138480e-03	8.719510e-09	3	true	DICPCG	9.343490e-03	4.280620e-04	1	true
0.640681      	smoothSolver	3.155040e-03	8.410080e-09	3	true	DICPCG	9.097180e-03	4.215370e-04	1	true
0.646074      	smoothSolver	3.167170e-03	8.117780e-09	3	true	DICPCG	9.477470e-03	4.080770e-04	1	true
0.651467      	smoothSolver	3.183500e-03	7.835330e-09	3	true	DICPCG	9.279460e-03	3.766910e-04	1	true
0.65632       	smoothSolver	2.883850e-03	4.438040e-09	3	true	DICPCG	8.666830e-03	3.299090e-04	1	true
0.661173      	smoothSolver	2.895970e-03	4.290300e-09	3	true	DICPCG	9.462460e-03	2.698980e-04	1	true
0.666027      	smoothSolver	2.905050e-03	4.172560e-09	3	true	DICPCG	9.498360e-03	2.845410e-04	1	true
0.67088       	smoothSolver	2.917120e-03	4.085450e-09	3	true	DICPCG	9.588970e-03	3.228460e-04	1	true
0.675733      	smoothSolver	2.929050e-03	4.006830e-09	3	true	DICPCG	9.497610e-03	2.866710e-04	1	true
0.680587      	smoothSolver	2.934940e-03	3.934170e-09	3	true	DICPCG	9.474950e-03	3.026930e-04	1	true
0.68544       	smoothSolver	2.943640e-03	3.840840e-09	3	true	DICPCG	9.412440e-03	3.104770e-04	1	true
0.690293      	smoothSolver	2.961390e-03	3.719790e-09	3	true	DICPCG	9.376750e-03	3.160870e-04	1	true
0.695147      	smoothSolver	2.981180e-03	3.558970e-09	3	true	DICPCG	9.339430e-03	3.462930e-04	1	true
0.7           	smoothSolver	2.997650e-03	3.345650e-09	3	true	DICPCG	9.210050e-03	3.563650e-04	1	true
0.704545      	smoothSolver	2.821520e-03	2.213000e-09	3	true	DICPCG	8.685100e-03	3.256680e-04	1	true
0.709091      	smoothSolver	2.833060e-03	2.083310e-09	3	true	DICPCG	8.536230e-03	3.052250e-04	1	true
0.713636      	smoothSolver	2.844020e-03	1.968270e-09	3	true	DICPCG	8.433850e-03	3.064180e-04	1	true
0.718182      	smoothSolver	2.848100e-03	1.872220e-09	3	true	DICPCG	8.387120e-03	3.205930e-04	1	true
0.722995      	smoothSolver	3.016000e-03	2.391470e-09	3	true	DICPCG	8.783680e-03	3.590510e-04	1	true
0.728128      	smoothSolver	3.222530e-03	3.172560e-09	3	true	DICPCG	9.256680e-03	3.794300e-04	1	true
0.733262      	smoothSolver	3.222950e-03	2.981360e-09	3	true	DICPCG	9.215700e-03	3.611100e-04	1	true
0.738824      	smoothSolver	3.502130e-03	4.404930e-09	3	true	DICPCG	9.964340e-03	4.296980e-04	1	true
0.744385      	smoothSolver	3.516180e-03	4.276300e-09	3	true	DICPCG	9.808800e-03	4.253410e-04	1	true
0.750564      	smoothSolver	3.915500e-03	7.275740e-09	3	true	DICPCG	1.097190e-02	4.881390e-04	1	true
0.756744      	smoothSolver	3.928300e-03	7.198510e-09	3	true	DICPCG	1.076110e-02	4.857700e-04	1	true
0.762923      	smoothSolver	3.943380e-03	7.238990e-09	3	true	DICPCG	1.068360e-02	5.154230e-04	1	true
0.769103      	smoothSolver	3.950000e-03	7.329040e-09	3	true	DICPCG	1.121410e-02	5.295570e-04	1	true
0.775282      	smoothSolver	3.951780e-03	7.428030e-09	3	true	DICPCG	1.089630e-02	2.122230e-04	2	true
0.781462      	smoothSolver	3.952660e-03	7.546710e-09	3	true	DICPCG	1.117420e-02	2.072790e-04	2	true
0.787641      	smoothSolver	3.951040e-03	7.592110e-09	3	true	DICPCG	1.175290e-02	2.210440e-04	2	true
0.793821      	smoothSolver	3.954940e-03	7.588580e-09	3	true	DICPCG	1.193830e-02	2.224210e-04	2	true
0.8           	smoothSolver	3.956650e-03	7.509390e-09	3	true	DICPCG	1.299630e-02	5.193460e-04	1	true
0.805882      	smoothSolver	3.766850e-03	5.527340e-09	3	true	DICPCG	1.230240e-02	5.521450e-04	1	true
0.811419      	smoothSolver	3.555080e-03	3.841230e-09	3	true	DICPCG	1.159760e-02	5.460280e-04	1	true
