# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.428697      	smoothSolver	4.559380e-04	8.765900e-09	2	true	DICPCG	2.924220e-03	5.350170e-05	3	true
0.42939       	smoothSolver	4.506270e-04	9.688800e-09	2	true	DICPCG	2.956340e-03	5.998510e-05	3	true
0.430069      	smoothSolver	4.411360e-04	9.840350e-09	2	true	DICPCG	2.894240e-03	5.833730e-05	3	true
0.430728      	smoothSolver	4.279950e-04	9.141190e-09	2	true	DICPCG	2.827760e-03	6.004420e-05	3	true
0.431376      	smoothSolver	4.194450e-04	8.530220e-09	2	true	DICPCG	2.775900e-03	6.399800e-05	3	true
0.432011      	smoothSolver	4.112280e-04	7.853390e-09	2	true	DICPCG	2.706540e-03	5.806430e-05	3	true
0.432641      	smoothSolver	4.070300e-04	7.511310e-09	2	true	DICPCG	2.669160e-03	5.465850e-05	3	true
0.433264      	smoothSolver	4.026940e-04	7.087710e-09	2	true	DICPCG	2.649150e-03	5.381330e-05	3	true
0.433882      	smoothSolver	3.982850e-04	6.571270e-09	2	true	DICPCG	2.633340e-03	5.292490e-05	3	true
0.4345        	smoothSolver	3.975910e-04	6.259330e-09	2	true	DICPCG	2.583000e-03	5.198720e-05	3	true
0.435112      	smoothSolver	3.932160e-04	5.647630e-09	2	true	DICPCG	2.603310e-03	4.805960e-05	3	true
0.435719      	smoothSolver	3.888680e-04	5.057870e-09	2	true	DICPCG	2.574790e-03	4.895680e-05	3	true
0.43632       	smoothSolver	3.846370e-04	4.467410e-09	2	true	DICPCG	2.559470e-03	5.579830e-05	3	true
0.43692       	smoothSolver	3.841230e-04	4.042180e-09	2	true	DICPCG	2.543820e-03	5.796090e-05	3	true
0.437521      	smoothSolver	3.836550e-04	3.571240e-09	2	true	DICPCG	2.539800e-03	6.223400e-05	3	true
0.438116      	smoothSolver	3.795030e-04	2.963810e-09	2	true	DICPCG	2.494750e-03	6.135590e-05	3	true
0.438706      	smoothSolver	3.753200e-04	2.519200e-09	2	true	DICPCG	2.464570e-03	6.005270e-05	3	true
0.439289      	smoothSolver	3.711740e-04	2.211460e-09	2	true	DICPCG	2.457070e-03	6.052490e-05	3	true
0.439862      	smoothSolver	3.637900e-04	1.882960e-09	2	true	DICPCG	2.409160e-03	6.161000e-05	3	true
0.440429      	smoothSolver	3.600570e-04	1.742390e-09	2	true	DICPCG	2.474240e-03	7.841380e-05	3	true
0.440991      	smoothSolver	3.568250e-04	1.595310e-09	2	true	DICPCG	2.393760e-03	7.136690e-05	3	true
0.441553      	smoothSolver	3.567870e-04	1.559370e-09	2	true	DICPCG	2.382990e-03	7.601060e-05	3	true
0.44211       	smoothSolver	3.532130e-04	1.531210e-09	2	true	DICPCG	2.354910e-03	8.154400e-05	3	true
0.442667      	smoothSolver	3.529180e-04	1.629450e-09	2	true	DICPCG	2.355770e-03	9.097590e-05	3	true
0.443223      	smoothSolver	3.525000e-04	1.761080e-09	2	true	DICPCG	2.336410e-03	9.970380e-05	3	true
0.44378       	smoothSolver	3.520890e-04	1.911800e-09	2	true	DICPCG	2.353350e-03	5.368370e-05	4	true
0.444336      	smoothSolver	3.520100e-04	1.914420e-09	2	true	DICPCG	2.271030e-03	5.302700e-05	4	true
0.444888      	smoothSolver	3.483490e-04	1.888650e-09	2	true	DICPCG	2.268500e-03	1.127550e-04	3	true
0.445439      	smoothSolver	3.480800e-04	2.024230e-09	2	true	DICPCG	2.300470e-03	1.133300e-04	3	true
0.44599       	smoothSolver	3.477200e-04	2.201320e-09	2	true	DICPCG	2.345190e-03	4.492890e-05	4	true
0.446541      	smoothSolver	3.473170e-04	2.404780e-09	2	true	DICPCG	2.324190e-03	1.150890e-04	3	true
0.447098      	smoothSolver	3.503750e-04	2.670330e-09	2	true	DICPCG	2.308570e-03	1.057600e-04	3	true
0.447655      	smoothSolver	3.499860e-04	2.687450e-09	2	true	DICPCG	2.289190e-03	1.097750e-04	3	true
0.448218      	smoothSolver	3.536510e-04	2.820240e-09	2	true	DICPCG	2.311750e-03	1.045080e-04	3	true
0.44878       	smoothSolver	3.534120e-04	2.725190e-09	2	true	DICPCG	2.310810e-03	1.126820e-04	3	true
0.44935       	smoothSolver	3.569030e-04	2.712380e-09	2	true	DICPCG	2.300590e-03	1.128490e-04	2	true
0.449925      	smoothSolver	3.604190e-04	2.635010e-09	2	true	DICPCG	2.328860e-03	1.051430e-04	2	true
0.450514      	smoothSolver	3.682360e-04	2.660430e-09	2	true	DICPCG	2.350490e-03	1.012980e-04	2	true
0.45111       	smoothSolver	3.720780e-04	2.548830e-09	2	true	DICPCG	2.374480e-03	1.037450e-04	2	true
0.451722      	smoothSolver	3.810550e-04	2.620140e-09	2	true	DICPCG	2.427340e-03	1.024080e-04	2	true
