# Solver information
# Time              	p_rgh_solver        	p_rgh_initial       	p_rgh_final         	p_rgh_iters         	p_rgh_converged     
1.575               	GAMG	9.966095442390e-02	4.544168278170e-04	1	true
1.57916666667       	GAMG	1.003678471730e-01	4.743800160930e-04	1	true
1.58333333333       	GAMG	9.892869032370e-02	4.663074362320e-04	1	true
1.5875              	GAMG	1.005632858610e-01	4.705137743250e-04	1	true
1.59166666667       	GAMG	1.008440476000e-01	4.696406697410e-04	1	true
1.59583333333       	GAMG	1.006925317390e-01	4.856228924060e-04	1	true
1.6                 	GAMG	1.028360442850e-01	5.098256595760e-04	1	true
1.60454545455       	GAMG	1.122234614450e-01	5.492256897020e-04	1	true
1.6095959596        	GAMG	1.252874641150e-01	6.053410741580e-04	1	true
1.61464646465       	GAMG	1.251742642580e-01	6.102438082740e-04	1	true
1.6196969697        	GAMG	1.255862252760e-01	6.337198907080e-04	1	true
1.62575757576       	GAMG	1.459473952660e-01	7.310827696050e-04	1	true
1.63181818182       	GAMG	1.449298280260e-01	6.929613434810e-04	1	true
1.63787878788       	GAMG	1.446362801970e-01	6.927252972080e-04	1	true
1.64393939394       	GAMG	1.446470402800e-01	6.784368339030e-04	1	true
1.65                	GAMG	1.464845556500e-01	7.008175344440e-04	1	true
1.65555555556       	GAMG	1.387966718190e-01	6.345873582530e-04	1	true
1.66111111111       	GAMG	1.384385399540e-01	6.473066711320e-04	1	true
1.66666666667       	GAMG	1.396079513620e-01	6.250614816820e-04	1	true
1.67222222222       	GAMG	1.391738090550e-01	6.090039861120e-04	1	true
1.67777777778       	GAMG	1.386823454940e-01	6.568542885910e-04	1	true
1.68333333333       	GAMG	1.411690832220e-01	6.641784347860e-04	1	true
1.68888888889       	GAMG	1.381735785160e-01	6.522975293230e-04	1	true
1.69444444444       	GAMG	1.340572917930e-01	6.378112432000e-04	1	true
1.7                 	GAMG	1.265510536630e-01	6.230747323440e-04	1	true
1.70625             	GAMG	1.358179536920e-01	6.671994060010e-04	1	true
1.7125              	GAMG	1.309423001190e-01	6.567014641380e-04	1	true
1.71875             	GAMG	1.246717709510e-01	6.094250609320e-04	1	true
