# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
1.27617       	DICPCG	8.774010e-03	2.288730e-04	1	true
1.28094       	DICPCG	8.678840e-03	2.154820e-04	1	true
1.2857        	DICPCG	8.722250e-03	2.286280e-04	1	true
1.29047       	DICPCG	9.023280e-03	2.406420e-04	1	true
1.29523       	DICPCG	9.339030e-03	2.614390e-04	1	true
1.3           	DICPCG	9.598180e-03	2.768430e-04	1	true
1.305         	DICPCG	9.652440e-03	2.279980e-04	1	true
1.30975       	DICPCG	8.799820e-03	1.926230e-04	1	true
1.31476       	DICPCG	9.448910e-03	2.325610e-04	1	true
1.31978       	DICPCG	9.713380e-03	2.724030e-04	1	true
1.32423       	DICPCG	8.657170e-03	2.313200e-04	1	true
1.32869       	DICPCG	8.507790e-03	2.098800e-04	1	true
1.33289       	DICPCG	7.861510e-03	1.826090e-04	1	true
1.33708       	DICPCG	8.101750e-03	2.150440e-04	1	true
1.34157       	DICPCG	9.059910e-03	3.193920e-04	1	true
1.34607       	DICPCG	8.897140e-03	2.577610e-04	1	true
1.35097       	DICPCG	9.429070e-03	2.545650e-04	1	true
1.35642       	DICPCG	1.055280e-02	3.367580e-04	1	true
1.36187       	DICPCG	1.056770e-02	3.344760e-04	1	true
1.36731       	DICPCG	1.057140e-02	2.982000e-04	1	true
1.37276       	DICPCG	1.022260e-02	2.670330e-04	1	true
1.37821       	DICPCG	1.006100e-02	2.569930e-04	1	true
1.38257       	DICPCG	8.239500e-03	1.981740e-04	1	true
1.38693       	DICPCG	8.193410e-03	1.795080e-04	1	true
1.39128       	DICPCG	8.157220e-03	1.675410e-04	1	true
1.39564       	DICPCG	8.136990e-03	1.787520e-04	1	true
1.4           	DICPCG	8.287950e-03	1.716330e-04	1	true
1.405         	DICPCG	9.507560e-03	1.881320e-04	1	true
1.41059       	DICPCG	1.066220e-02	1.964180e-04	1	true
1.41618       	DICPCG	1.046800e-02	2.281780e-04	1	true
1.42216       	DICPCG	1.099370e-02	2.391570e-04	1	true
1.42815       	DICPCG	1.116470e-02	2.338760e-04	1	true
1.43414       	DICPCG	1.150030e-02	2.629640e-04	1	true
1.44013       	DICPCG	1.114500e-02	2.740310e-04	1	true
1.44557       	DICPCG	1.050300e-02	2.821560e-04	1	true
1.45052       	DICPCG	9.583280e-03	2.527630e-04	1	true
1.45464       	DICPCG	8.428390e-03	2.314380e-04	1	true
1.45918       	DICPCG	9.241420e-03	2.049020e-04	1	true
1.46371       	DICPCG	8.681860e-03	2.131420e-04	1	true
1.46825       	DICPCG	8.580540e-03	2.086790e-04	1	true
1.47354       	DICPCG	1.000540e-02	2.323080e-04	1	true
1.48016       	DICPCG	1.262940e-02	2.883560e-04	1	true
1.48677       	DICPCG	1.264320e-02	2.619250e-04	1	true
1.49339       	DICPCG	1.186350e-02	2.558590e-04	1	true
1.5           	DICPCG	1.198850e-02	2.869680e-04	1	true
1.50588       	DICPCG	1.104090e-02	2.487560e-04	1	true
1.51176       	DICPCG	1.099950e-02	2.549460e-04	1	true
1.51765       	DICPCG	1.080830e-02	2.529820e-04	1	true
1.52353       	DICPCG	1.051570e-02	2.861960e-04	1	true
1.52941       	DICPCG	1.052930e-02	2.608920e-04	1	true
1.53529       	DICPCG	9.873670e-03	2.464800e-04	1	true
1.54118       	DICPCG	9.898120e-03	2.540090e-04	1	true
1.54706       	DICPCG	9.490440e-03	2.574920e-04	1	true
1.55294       	DICPCG	8.207560e-03	2.261920e-04	1	true
1.55882       	DICPCG	8.060530e-03	1.450560e-04	1	true
1.56471       	DICPCG	8.017200e-03	1.566540e-04	1	true
1.57059       	DICPCG	7.842040e-03	1.186850e-04	1	true
1.57647       	DICPCG	7.916900e-03	1.376590e-04	1	true
1.58235       	DICPCG	8.119270e-03	1.666010e-04	1	true
1.58824       	DICPCG	7.967020e-03	1.933530e-04	1	true
1.59412       	DICPCG	7.931620e-03	1.602170e-04	1	true
1.6           	DICPCG	7.701200e-03	1.520890e-04	1	true
1.60588       	DICPCG	7.891800e-03	1.573370e-04	1	true
1.61176       	DICPCG	7.826050e-03	1.776620e-04	1	true
1.61765       	DICPCG	7.998750e-03	1.875500e-04	1	true
1.62353       	DICPCG	8.116980e-03	1.812400e-04	1	true
1.62941       	DICPCG	8.051800e-03	1.852180e-04	1	true
1.63529       	DICPCG	7.527620e-03	1.562750e-04	1	true
1.64118       	DICPCG	7.709760e-03	1.557920e-04	1	true
1.64706       	DICPCG	8.068280e-03	1.663500e-04	1	true
1.65294       	DICPCG	7.855120e-03	1.619250e-04	1	true
1.65882       	DICPCG	7.616930e-03	1.507170e-04	1	true
1.66471       	DICPCG	7.790460e-03	1.562100e-04	1	true
1.67059       	DICPCG	7.788090e-03	1.572520e-04	1	true
1.67647       	DICPCG	7.539260e-03	1.628220e-04	1	true
1.68235       	DICPCG	7.473840e-03	1.618330e-04	1	true
1.68824       	DICPCG	7.453080e-03	1.495770e-04	1	true
1.69412       	DICPCG	7.437090e-03	1.487370e-04	1	true
1.7           	DICPCG	7.567810e-03	1.378350e-04	1	true
1.70556       	DICPCG	7.393480e-03	1.412990e-04	1	true
1.7108        	DICPCG	7.162870e-03	1.241210e-04	1	true
1.71605       	DICPCG	7.264090e-03	1.432000e-04	1	true
1.72205       	DICPCG	8.076420e-03	1.523050e-04	1	true
1.72724       	DICPCG	6.995610e-03	1.355870e-04	1	true
1.73209       	DICPCG	6.492020e-03	1.289210e-04	1	true
1.73694       	DICPCG	6.311160e-03	1.414660e-04	1	true
1.7422        	DICPCG	6.645040e-03	1.406450e-04	1	true
1.74798       	DICPCG	7.423970e-03	1.545920e-04	1	true
1.75376       	DICPCG	7.727860e-03	1.548630e-04	1	true
1.75954       	DICPCG	8.037020e-03	1.502700e-04	1	true
1.7646        	DICPCG	7.366930e-03	1.382520e-04	1	true
1.76965       	DICPCG	7.421840e-03	1.407730e-04	1	true
1.77471       	DICPCG	7.532660e-03	1.373800e-04	1	true
1.77977       	DICPCG	7.529320e-03	1.460530e-04	1	true
1.78483       	DICPCG	7.679650e-03	1.493840e-04	1	true
1.78988       	DICPCG	7.605880e-03	1.512280e-04	1	true
1.79494       	DICPCG	7.593400e-03	1.500010e-04	1	true
1.8           	DICPCG	7.534100e-03	1.567470e-04	1	true
1.805         	DICPCG	7.585800e-03	1.751590e-04	1	true
1.81028       	DICPCG	8.313770e-03	1.864280e-04	1	true
1.81526       	DICPCG	8.028450e-03	1.720350e-04	1	true
1.82091       	DICPCG	8.972150e-03	1.920550e-04	1	true
1.82618       	DICPCG	8.485250e-03	1.772120e-04	1	true
1.83186       	DICPCG	8.974790e-03	1.975440e-04	1	true
1.8371        	DICPCG	8.477810e-03	1.775180e-04	1	true
1.84282       	DICPCG	9.117560e-03	1.864050e-04	1	true
1.84802       	DICPCG	8.523830e-03	1.711250e-04	1	true
1.85275       	DICPCG	7.878140e-03	1.822980e-04	1	true
1.858         	DICPCG	8.799080e-03	1.835980e-04	1	true
1.864         	DICPCG	1.014170e-02	2.229110e-04	1	true
1.87          	DICPCG	1.054500e-02	2.114920e-04	1	true
1.875         	DICPCG	9.394510e-03	2.091680e-04	1	true
1.88          	DICPCG	9.156270e-03	2.161970e-04	1	true
1.885         	DICPCG	9.420170e-03	2.018600e-04	1	true
1.89          	DICPCG	9.485210e-03	1.984120e-04	1	true
1.895         	DICPCG	9.460190e-03	2.031650e-04	1	true
1.9           	DICPCG	9.395080e-03	1.933210e-04	1	true
1.90526       	DICPCG	9.769670e-03	2.034590e-04	1	true
1.91025       	DICPCG	9.331660e-03	2.207090e-04	1	true
1.91497       	DICPCG	8.720680e-03	2.260340e-04	1	true
