#x[m]	temp[K]	p[Pa]	rho[kg/m3]	u[m/s]
2.0999999999999748	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.1999999999999744	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.299999999999974	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.3999999999999737	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.4999999999999734	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.599999999999973	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.6999999999999726	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.7999999999999723	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.899999999999972	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
2.9999999999999716	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.0999999999999712	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.199999999999971	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.2999999999999705	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.39999999999997	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.49999999999997	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.5999999999999694	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.699999999999969	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.7999999999999687	397.7064922546367	30313.005632409207	0.26547931720732226	293.3382502791207
3.8999999999999684	278.74600000000004	10000.0	0.1249556012019438	0.0
3.999999999999968	278.74600000000004	10000.0	0.1249556012019438	0.0
4.099999999999968	278.74600000000004	10000.0	0.1249556012019438	0.0
4.199999999999967	278.74600000000004	10000.0	0.1249556012019438	0.0
4.299999999999967	278.74600000000004	10000.0	0.1249556012019438	0.0
4.399999999999967	278.74600000000004	10000.0	0.1249556012019438	0.0
4.499999999999966	278.74600000000004	10000.0	0.1249556012019438	0.0
4.599999999999966	278.74600000000004	10000.0	0.1249556012019438	0.0
4.6999999999999655	278.74600000000004	10000.0	0.1249556012019438	0.0
4.799999999999965	278.74600000000004	10000.0	0.1249556012019438	0.0
4.899999999999965	278.74600000000004	10000.0	0.1249556012019438	0.0
