# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	epsilon_solver	epsilon_initial	epsilon_final 	epsilon_iters 	epsilon_converged
32            	DILUPBiCGStab	1.008650e-02	5.018200e-09	4	2.084370e-02	5.588260e-09	4	false	DILUPBiCGStab	2.024950e-02	1.254200e-10	3	true	GAMG	2.260840e-02	4.095410e-05	3	true	DILUPBiCGStab	1.118090e-02	1.016580e-10	3	true
33            	DILUPBiCGStab	9.938290e-03	3.046150e-09	4	2.068650e-02	6.598780e-09	4	false	DILUPBiCGStab	1.919880e-02	1.744960e-10	3	true	GAMG	2.153790e-02	3.802480e-05	3	true	DILUPBiCGStab	1.072290e-02	9.148020e-11	3	true
34            	DILUPBiCGStab	9.784480e-03	2.631510e-09	4	2.067870e-02	7.093800e-09	4	false	DILUPBiCGStab	1.878200e-02	9.945590e-11	3	true	GAMG	2.113560e-02	3.629160e-05	3	true	DILUPBiCGStab	1.033830e-02	1.037610e-10	3	true
35            	DILUPBiCGStab	9.666290e-03	2.526360e-09	4	2.063100e-02	7.023010e-09	4	false	DILUPBiCGStab	1.833240e-02	1.263200e-10	3	true	GAMG	2.053310e-02	3.600740e-05	3	true	DILUPBiCGStab	1.010060e-02	1.144410e-10	3	true
36            	DILUPBiCGStab	9.545800e-03	2.560260e-09	4	2.072820e-02	6.543540e-09	4	false	DILUPBiCGStab	1.791350e-02	1.434990e-10	3	true	GAMG	2.072980e-02	3.527450e-05	3	true	DILUPBiCGStab	9.851940e-03	2.009460e-10	3	true
37            	DILUPBiCGStab	9.422620e-03	3.565460e-09	4	2.069210e-02	6.898260e-09	4	false	DILUPBiCGStab	1.718980e-02	1.396330e-10	3	true	GAMG	2.000710e-02	3.415210e-05	3	true	DILUPBiCGStab	9.741820e-03	3.699910e-10	3	true
38            	DILUPBiCGStab	9.346430e-03	3.075830e-09	4	2.079790e-02	5.633870e-09	4	false	DILUPBiCGStab	1.668590e-02	1.462720e-10	3	true	GAMG	2.016630e-02	3.349230e-05	3	true	DILUPBiCGStab	9.471980e-03	1.320270e-10	3	true
39            	DILUPBiCGStab	9.291330e-03	2.053670e-09	4	2.089030e-02	5.742520e-09	4	false	DILUPBiCGStab	1.625040e-02	1.389940e-10	3	true	GAMG	1.988020e-02	3.339690e-05	3	true	DILUPBiCGStab	9.231730e-03	7.629430e-11	3	true
40            	DILUPBiCGStab	9.222290e-03	1.632600e-09	4	2.102210e-02	6.376790e-09	4	false	DILUPBiCGStab	1.606720e-02	1.532000e-10	3	true	GAMG	1.993640e-02	3.300010e-05	3	true	DILUPBiCGStab	9.020550e-03	5.929390e-11	3	true
41            	DILUPBiCGStab	9.176500e-03	1.429500e-09	4	2.109760e-02	7.583840e-09	4	false	DILUPBiCGStab	1.568550e-02	1.674520e-10	3	true	GAMG	2.044950e-02	3.362700e-05	3	true	DILUPBiCGStab	9.000000e-03	5.101510e-11	3	true
42            	DILUPBiCGStab	9.127140e-03	1.355490e-09	4	2.123490e-02	7.245500e-09	4	false	DILUPBiCGStab	1.531700e-02	1.750800e-10	3	true	GAMG	2.073160e-02	3.315000e-05	3	true	DILUPBiCGStab	8.744100e-03	7.810230e-11	3	true
43            	DILUPBiCGStab	9.099550e-03	1.357530e-09	4	2.133830e-02	8.239120e-09	4	false	DILUPBiCGStab	1.499740e-02	1.943670e-10	3	true	GAMG	2.086080e-02	3.384220e-05	3	true	DILUPBiCGStab	8.589260e-03	5.335850e-11	3	true
44            	DILUPBiCGStab	9.067280e-03	1.654020e-09	4	2.152170e-02	8.710540e-09	4	false	DILUPBiCGStab	1.488930e-02	2.321950e-10	3	true	GAMG	2.038940e-02	3.505390e-05	3	true	DILUPBiCGStab	8.429080e-03	8.358070e-11	3	true
