66461
(
( 0.1017  ( (0  0  0)  (0  0   0.191066) )) 
( 0.1023  ( (0  0  0)  (0  0   0.19226) )) 
( 0.103  ( (0  0  0)  (0  0   0.193454) )) 
( 0.1037  ( (0  0  0)  (0  0   0.194648) )) 
( 0.1044  ( (0  0  0)  (0  0   0.195843) )) 
( 0.10505  ( (0  0  0)  (0  0   0.197037) )) 
( 0.10575  ( (0  0  0)  (0  0   0.198231) )) 
( 0.1064  ( (0  0  0)  (0  0   0.199425) )) 
( 0.1071  ( (0  0  0)  (0  0   0.200619) )) 
( 0.1077  ( (0  0  0)  (0  0   0.201813) )) 
( 0.10835  ( (0  0  0)  (0  0   0.203008) )) 
( 0.109  ( (0  0  0)  (0  0   0.204202) )) 
( 0.10965  ( (0  0  0)  (0  0   0.205396) )) 
( 0.11025  ( (0  0  0)  (0  0   0.20659) )) 
( 0.11095  ( (0  0  0)  (0  0   0.207784) )) 
( 0.1116  ( (0  0  0)  (0  0   0.208978) )) 
( 0.1123  ( (0  0  0)  (0  0   0.210173) )) 
( 0.1129  ( (0  0  0)  (0  0   0.211367) )) 
( 0.1136  ( (0  0  0)  (0  0   0.212561) )) 
( 0.11425  ( (0  0  0)  (0  0   0.213755) )) 
( 0.1149  ( (0  0  0)  (0  0   0.214949) )) 
( 0.11545  ( (0  0  0)  (0  0   0.216143) )) 
( 0.1161  ( (0  0  0)  (0  0   0.217338) )) 
( 0.1167  ( (0  0  0)  (0  0   0.218532) )) 
( 0.1173  ( (0  0  0)  (0  0   0.219726) )) 
( 0.11785  ( (0  0  0)  (0  0   0.22092) )) 
( 0.1185  ( (0  0  0)  (0  0   0.222114) )) 
( 0.11905  ( (0  0  0)  (0  0   0.223308) )) 
( 0.11965  ( (0  0  0)  (0  0   0.224503) )) 
( 0.1202  ( (0  0  0)  (0  0   0.225697) )) 
( 0.1208  ( (0  0  0)  (0  0   0.226891) )) 
( 0.12135  ( (0  0  0)  (0  0   0.228085) )) 
( 0.12195  ( (0  0  0)  (0  0   0.229279) )) 
( 0.12245  ( (0  0  0)  (0  0   0.230473) )) 
( 0.12305  ( (0  0  0)  (0  0   0.231668) )) 
( 0.1236  ( (0  0  0)  (0  0   0.232862) )) 
( 0.12415  ( (0  0  0)  (0  0   0.234056) )) 
( 0.1246  ( (0  0  0)  (0  0   0.23525) )) 
( 0.12515  ( (0  0  0)  (0  0   0.236444) )) 
( 0.1256  ( (0  0  0)  (0  0   0.237638) )) 
( 0.1261  ( (0  0  0)  (0  0   0.238833) )) 
( 0.12655  ( (0  0  0)  (0  0   0.240027) )) 
( 0.12705  ( (0  0  0)  (0  0   0.241221) )) 
( 0.1275  ( (0  0  0)  (0  0   0.242415) )) 
( 0.128  ( (0  0  0)  (0  0   0.243609) )) 
( 0.12845  ( (0  0  0)  (0  0   0.244803) )) 
( 0.1289  ( (0  0  0)  (0  0   0.245998) )) 
( 0.12935  ( (0  0  0)  (0  0   0.247192) )) 
( 0.12985  ( (0  0  0)  (0  0   0.248386) )) 
( 0.1303  ( (0  0  0)  (0  0   0.24958) )) 
( 0.13075  ( (0  0  0)  (0  0   0.250774) )) 
( 0.1312  ( (0  0  0)  (0  0   0.251968) )) 
( 0.13165  ( (0  0  0)  (0  0   0.253163) )) 
( 0.13205  ( (0  0  0)  (0  0   0.254357) )) 
( 0.13245  ( (0  0  0)  (0  0   0.255551) )) 
( 0.13285  ( (0  0  0)  (0  0   0.256745) )) 
( 0.1333  ( (0  0  0)  (0  0   0.257939) )) 
( 0.13365  ( (0  0  0)  (0  0   0.259134) )) 
( 0.13405  ( (0  0  0)  (0  0   0.260328) )) 
( 0.1344  ( (0  0  0)  (0  0   0.261522) )) 
( 0.1348  ( (0  0  0)  (0  0   0.262716) )) 
( 0.13515  ( (0  0  0)  (0  0   0.26391) )) 
( 0.13555  ( (0  0  0)  (0  0   0.265104) )) 
( 0.1359  ( (0  0  0)  (0  0   0.266299) )) 
( 0.1363  ( (0  0  0)  (0  0   0.267493) )) 
( 0.13665  ( (0  0  0)  (0  0   0.268687) )) 
( 0.137  ( (0  0  0)  (0  0   0.269881) )) 
( 0.13735  ( (0  0  0)  (0  0   0.271075) )) 
( 0.13775  ( (0  0  0)  (0  0   0.272269) )) 
( 0.13805  ( (0  0  0)  (0  0   0.273464) )) 
( 0.13845  ( (0  0  0)  (0  0   0.274658) )) 
( 0.1388  ( (0  0  0)  (0  0   0.275852) )) 
( 0.13915  ( (0  0  0)  (0  0   0.277046) )) 
( 0.13945  ( (0  0  0)  (0  0   0.27824) )) 
( 0.1398  ( (0  0  0)  (0  0   0.279434) )) 
( 0.14015  ( (0  0  0)  (0  0   0.280629) )) 
( 0.14045  ( (0  0  0)  (0  0   0.281823) )) 
( 0.14075  ( (0  0  0)  (0  0   0.283017) )) 
( 0.1411  ( (0  0  0)  (0  0   0.284211) )) 
( 0.1414  ( (0  0  0)  (0  0   0.285405) )) 
( 0.1417  ( (0  0  0)  (0  0   0.286599) )) 
( 0.142  ( (0  0  0)  (0  0   0.287794) )) 
( 0.1423  ( (0  0  0)  (0  0   0.288988) )) 
( 0.1426  ( (0  0  0)  (0  0   0.290182) )) 
( 0.1429  ( (0  0  0)  (0  0   0.291376) )) 
( 0.1432  ( (0  0  0)  (0  0   0.29257) )) 
( 0.1435  ( (0  0  0)  (0  0   0.293765) )) 
( 0.1438  ( (0  0  0)  (0  0   0.294959) )) 
( 0.1441  ( (0  0  0)  (0  0   0.296153) )) 
( 0.14435  ( (0  0  0)  (0  0   0.297347) )) 
( 0.14465  ( (0  0  0)  (0  0   0.298541) )) 
( 0.14495  ( (0  0  0)  (0  0   0.299735) )) 
( 0.14525  ( (0  0  0)  (0  0   0.30093) )) 
( 0.1455  ( (0  0  0)  (0  0   0.302124) )) 
( 0.1458  ( (0  0  0)  (0  0   0.303318) )) 
( 0.14605  ( (0  0  0)  (0  0   0.304512) )) 
( 0.14635  ( (0  0  0)  (0  0   0.305706) )) 
( 0.1466  ( (0  0  0)  (0  0   0.3069) )) 
( 0.1469  ( (0  0  0)  (0  0   0.308095) )) 
( 0.14715  ( (0  0  0)  (0  0   0.309289) )) 
( 0.14745  ( (0  0  0)  (0  0   0.310483) )) 
( 0.1477  ( (0  0  0)  (0  0   0.311677) )) 
( 0.14795  ( (0  0  0)  (0  0   0.312871) )) 
( 0.1482  ( (0  0  0)  (0  0   0.314066) )) 
